study_id,intervention_name,condition,sponsor,start_date,end_date,phase,status,completeness_score,study_duration_days
NCT100247,Donepezil,Breast Cancer,Pfizer,2021-09-22,2024-08-28,Phase 4,Terminated,1.0,1071.0
NCT100248,Aspirin,Covid-19,Pfizer,2021-07-14,2024-09-14,Phase 4,Withdrawn,1.0,1158.0
NCT100249,Donepezil,Breast Cancer,Gsk,2021-10-09,2025-02-24,Phase 2,Terminated,1.0,1234.0
NCT100250,Trastuzumab,Breast Cancer,Moderna,2021-12-06,2024-12-31,Phase 2,Withdrawn,1.0,1121.0
NCT100251,Metformin,Breast Cancer,Sanofi,2022-08-30,2024-09-29,,Completed,0.875,761.0
NCT100252,Donepezil,Alzheimer'S Disease,Moderna,2022-09-12,2025-06-11,,Completed,0.875,1003.0
NCT100253,Aspirin,Covid-19,Astrazeneca,2023-06-25,2025-02-22,Phase 3,Completed,1.0,608.0
NCT100254,Trastuzumab,Covid-19,Sanofi,2023-10-05,2024-10-06,Phase 4,Withdrawn,1.0,367.0
NCT100255,Metformin,Alzheimer'S Disease,Moderna,2022-09-02,2024-12-30,Phase 4,Completed,1.0,850.0
NCT100256,Metformin,Covid-19,Novartis,2022-05-15,2024-09-14,Phase 3,Completed,1.0,853.0
NCT100257,Remdesivir,Hypertension,Pfizer,2022-11-30,2025-05-13,Phase 2,Completed,1.0,895.0
NCT100258,Aspirin,Diabetes,Pfizer,2021-08-20,2024-11-27,Phase 2,Withdrawn,1.0,1195.0
NCT100259,Trastuzumab,Breast Cancer,Novartis,2022-04-26,2025-02-21,Phase 2,Terminated,1.0,1032.0
NCT100260,Aspirin,,Pfizer,2022-04-03,2024-09-01,Phase 3,Recruiting,0.875,882.0
NCT100261,Trastuzumab,Diabetes,Moderna,2020-10-17,2024-09-30,,Terminated,0.875,1444.0
NCT100262,Metformin,Hypertension,Astrazeneca,2024-03-19,2025-03-11,Phase 2,Withdrawn,1.0,357.0
NCT100263,Metformin,Diabetes,Gsk,2020-11-15,2024-10-27,Phase 4,Completed,1.0,1442.0
NCT100264,Salbutamol,Diabetes,Novartis,2020-09-19,2024-09-11,Phase 3,Recruiting,1.0,1453.0
NCT100265,Remdesivir,Breast Cancer,Astrazeneca,2023-01-01,2025-05-21,Phase 4,Terminated,1.0,871.0
NCT100266,Aspirin,Alzheimer'S Disease,Pfizer,2020-09-01,,Phase 2,Recruiting,0.875,
NCT100267,Donepezil,Asthma,Moderna,2023-05-13,2024-10-30,Phase 4,Recruiting,1.0,536.0
NCT100268,Remdesivir,Asthma,Astrazeneca,2020-12-30,2025-04-21,Phase 4,Withdrawn,1.0,1573.0
NCT100269,Trastuzumab,Diabetes,Pfizer,2021-09-25,2025-07-07,,Terminated,0.875,1381.0
NCT100270,Trastuzumab,Asthma,Gsk,2023-12-10,,Phase 2,Recruiting,0.875,
NCT100271,Salbutamol,Hypertension,Sanofi,2023-01-17,2024-09-30,Phase 4,Withdrawn,1.0,622.0
NCT100272,Donepezil,,Gsk,2021-01-07,,Phase 3,Completed,0.75,
NCT100273,Trastuzumab,Asthma,Moderna,2021-02-16,2024-10-20,Phase 2,Recruiting,1.0,1342.0
NCT100274,Remdesivir,Alzheimer'S Disease,Pfizer,2021-05-14,,Phase 2,Withdrawn,0.875,
NCT100275,Trastuzumab,Alzheimer'S Disease,Moderna,2023-07-14,,Phase 3,Recruiting,0.875,
NCT100276,Donepezil,Covid-19,Gsk,2021-05-14,2025-07-15,Phase 3,Withdrawn,1.0,1523.0
NCT100277,Aspirin,Hypertension,Novartis,2021-03-08,,Phase 1,Withdrawn,0.875,
NCT100278,,Hypertension,Pfizer,2021-12-12,,Phase 1,Recruiting,0.75,
NCT100279,,Asthma,Novartis,2024-03-28,,,Recruiting,0.625,
NCT100280,Salbutamol,Diabetes,Pfizer,2020-08-08,2025-04-27,Phase 2,Terminated,1.0,1723.0
NCT100281,Metformin,Diabetes,Gsk,2021-11-28,2025-07-05,Phase 4,Withdrawn,1.0,1315.0
NCT100282,Metformin,Diabetes,Sanofi,2022-03-10,,Phase 2,Terminated,0.875,
NCT100283,Salbutamol,Breast Cancer,Novartis,2023-03-30,2025-01-18,Phase 1,Recruiting,1.0,660.0
NCT100284,Remdesivir,Alzheimer'S Disease,Gsk,2020-12-09,2025-05-31,Phase 2,Withdrawn,1.0,1634.0
NCT100285,Salbutamol,Hypertension,Sanofi,2022-12-14,,Phase 4,Terminated,0.875,
NCT100286,Salbutamol,Covid-19,Moderna,2022-01-14,2024-08-20,Phase 1,Withdrawn,1.0,949.0
NCT100287,Remdesivir,Alzheimer'S Disease,Sanofi,2021-09-18,2025-01-10,Phase 2,Terminated,1.0,1210.0
NCT100288,Trastuzumab,Diabetes,Pfizer,2021-07-11,2024-12-14,Phase 4,Withdrawn,1.0,1252.0
NCT100289,Remdesivir,Asthma,Pfizer,2024-07-01,2025-06-06,Phase 1,Recruiting,1.0,340.0
NCT100290,Salbutamol,Hypertension,Moderna,2023-11-18,2024-12-24,Phase 1,Recruiting,1.0,402.0
NCT100291,Trastuzumab,Alzheimer'S Disease,Sanofi,2022-06-21,2024-12-19,,Terminated,0.875,912.0
NCT100292,Metformin,Breast Cancer,Moderna,2023-07-17,2025-01-15,,Completed,0.875,548.0
NCT100293,Remdesivir,Breast Cancer,Sanofi,2021-11-27,2025-03-17,Phase 4,Recruiting,1.0,1206.0
NCT100294,Trastuzumab,Covid-19,Novartis,2022-09-05,2025-02-01,Phase 3,Withdrawn,1.0,880.0
NCT100295,Trastuzumab,Covid-19,Moderna,2022-01-28,2024-10-07,Phase 1,Completed,1.0,983.0
NCT100296,Aspirin,Breast Cancer,Pfizer,2020-08-06,2025-07-03,Phase 4,Withdrawn,1.0,1792.0
NCT100297,Salbutamol,Hypertension,Gsk,2022-11-19,2025-07-31,Phase 4,Withdrawn,1.0,985.0
NCT100298,Aspirin,Breast Cancer,Gsk,2020-08-14,2024-12-06,,Withdrawn,0.875,1575.0
NCT100299,Remdesivir,Hypertension,Gsk,2021-06-28,2024-10-04,,Recruiting,0.875,1194.0
NCT100300,Metformin,Alzheimer'S Disease,Astrazeneca,2022-02-18,,Phase 3,Completed,0.875,
NCT100301,Donepezil,Asthma,Moderna,2024-03-22,,Phase 3,Completed,0.875,
NCT100302,Aspirin,Asthma,Pfizer,2024-05-20,2025-07-25,Phase 3,Completed,1.0,431.0
NCT100303,Salbutamol,Covid-19,Astrazeneca,2024-01-03,2025-05-06,Phase 4,Terminated,1.0,489.0
NCT100304,Salbutamol,Alzheimer'S Disease,Astrazeneca,2024-02-15,,Phase 4,Terminated,0.875,
NCT100305,Salbutamol,Breast Cancer,Astrazeneca,2022-04-11,2025-02-07,,Completed,0.875,1033.0
NCT100306,Donepezil,Alzheimer'S Disease,Gsk,2022-07-05,2024-08-20,Phase 2,Terminated,1.0,777.0
NCT100307,Salbutamol,Diabetes,Moderna,2024-06-30,2025-06-28,Phase 4,Completed,1.0,363.0
NCT100308,Remdesivir,Alzheimer'S Disease,Novartis,2023-06-22,2025-05-05,Phase 4,Recruiting,1.0,683.0
NCT100309,Salbutamol,Covid-19,Pfizer,2021-11-11,2025-05-23,,Withdrawn,0.875,1289.0
NCT100310,Metformin,Covid-19,Sanofi,2021-01-21,2025-07-24,Phase 1,Recruiting,1.0,1645.0
NCT100311,Aspirin,Hypertension,Sanofi,2021-06-06,2025-05-20,Phase 4,Withdrawn,1.0,1444.0
NCT100312,Metformin,Hypertension,Astrazeneca,2021-12-01,2025-07-17,Phase 2,Recruiting,1.0,1324.0
NCT100313,Donepezil,Hypertension,Novartis,2024-06-02,2024-09-06,Phase 1,Terminated,1.0,96.0
NCT100314,Donepezil,Diabetes,Pfizer,2021-09-30,2025-07-09,,Recruiting,0.875,1378.0
NCT100315,Salbutamol,Diabetes,Novartis,2021-02-21,2025-01-16,Phase 1,Completed,1.0,1425.0
NCT100316,,Asthma,Pfizer,2021-09-17,2025-02-08,,Completed,0.75,1240.0
NCT100317,Donepezil,Covid-19,Novartis,2023-10-20,2024-09-19,,Completed,0.875,335.0
NCT100318,Remdesivir,Hypertension,Astrazeneca,2021-10-22,2024-11-02,Phase 3,Completed,1.0,1107.0
NCT100319,Metformin,Hypertension,Moderna,2021-10-12,2025-05-08,Phase 1,Withdrawn,1.0,1304.0
NCT100320,Remdesivir,Alzheimer'S Disease,Gsk,2024-03-07,2025-05-14,Phase 4,Recruiting,1.0,433.0
NCT100321,Remdesivir,Hypertension,Novartis,2023-02-07,2024-09-16,Phase 1,Recruiting,1.0,587.0
NCT100322,Donepezil,Covid-19,Astrazeneca,2023-07-26,2025-01-22,Phase 1,Terminated,1.0,546.0
NCT100323,Remdesivir,Hypertension,Gsk,2021-02-17,2025-03-04,Phase 4,Completed,1.0,1476.0
NCT100324,Salbutamol,Hypertension,Astrazeneca,2022-03-01,2024-09-23,Phase 1,Completed,1.0,937.0
NCT100325,Salbutamol,Alzheimer'S Disease,Gsk,2022-05-10,2024-08-09,Phase 2,Withdrawn,1.0,822.0
NCT100326,Remdesivir,Covid-19,Moderna,2021-08-21,2025-05-15,Phase 3,Terminated,1.0,1363.0
NCT100327,Aspirin,Asthma,Astrazeneca,2022-01-21,2024-12-09,Phase 4,Recruiting,1.0,1053.0
NCT100328,Aspirin,Covid-19,Astrazeneca,2021-11-27,2024-12-19,Phase 1,Completed,1.0,1118.0
NCT100329,Salbutamol,Diabetes,Novartis,2022-12-11,2025-02-22,Phase 2,Terminated,1.0,804.0
NCT100330,Metformin,,Sanofi,2021-05-23,,Phase 3,Completed,0.75,
NCT100331,Trastuzumab,,Novartis,2024-04-30,,Phase 4,Terminated,0.75,
NCT100332,Aspirin,Alzheimer'S Disease,Astrazeneca,2020-10-28,2025-05-12,Phase 4,Terminated,1.0,1657.0
NCT100333,Metformin,Covid-19,Sanofi,2021-09-27,,Phase 2,Completed,0.875,
NCT100334,Trastuzumab,Covid-19,Gsk,2022-08-24,2024-10-20,Phase 2,Recruiting,1.0,788.0
NCT100335,Trastuzumab,Covid-19,Gsk,2021-03-12,2024-10-04,Phase 4,Withdrawn,1.0,1302.0
NCT100336,Remdesivir,Hypertension,Astrazeneca,2022-02-17,2025-02-10,Phase 2,Recruiting,1.0,1089.0
NCT100337,Aspirin,Diabetes,Sanofi,2021-10-20,,Phase 4,Withdrawn,0.875,
NCT100338,Metformin,Alzheimer'S Disease,Gsk,2024-06-22,,Phase 3,Recruiting,0.875,
NCT100339,Salbutamol,Breast Cancer,Novartis,2022-09-02,2025-07-05,Phase 3,Completed,1.0,1037.0
NCT100340,Salbutamol,Alzheimer'S Disease,Sanofi,2023-07-06,2025-04-13,Phase 4,Withdrawn,1.0,647.0
NCT100341,Trastuzumab,Alzheimer'S Disease,Novartis,2024-06-28,2024-11-15,,Completed,0.875,140.0
NCT100342,Remdesivir,Hypertension,Novartis,2023-05-05,2025-07-17,Phase 1,Terminated,1.0,804.0
NCT100343,Salbutamol,Alzheimer'S Disease,Novartis,2021-01-26,2024-08-11,Phase 4,Completed,1.0,1293.0
NCT100344,Aspirin,Breast Cancer,Sanofi,2021-10-12,2025-01-06,Phase 1,Completed,1.0,1182.0
NCT100345,Donepezil,Covid-19,Sanofi,2021-06-30,2024-09-03,Phase 4,Recruiting,1.0,1161.0
NCT100346,Salbutamol,Covid-19,Gsk,2022-11-25,2024-11-23,Phase 1,Terminated,1.0,729.0
NCT100347,Donepezil,Breast Cancer,Moderna,2020-10-21,,Phase 1,Withdrawn,0.875,
NCT100348,,Breast Cancer,Sanofi,2021-07-26,,,Withdrawn,0.625,
NCT100349,Donepezil,Hypertension,Moderna,2022-03-16,2024-10-12,,Completed,0.875,941.0
NCT100350,Metformin,Alzheimer'S Disease,Gsk,2021-07-14,,,Withdrawn,0.75,
NCT100351,Trastuzumab,Asthma,Moderna,2024-02-25,2024-11-15,Phase 1,Completed,1.0,264.0
NCT100352,Salbutamol,Hypertension,Sanofi,2022-12-05,2025-04-03,Phase 4,Recruiting,1.0,850.0
NCT100353,,Diabetes,Astrazeneca,2022-01-11,2025-03-03,Phase 3,Terminated,0.875,1147.0
NCT100354,Salbutamol,Breast Cancer,Pfizer,2022-09-23,2025-04-22,Phase 2,Terminated,1.0,942.0
NCT100355,Remdesivir,Covid-19,Gsk,2021-03-28,2024-09-23,Phase 1,Completed,1.0,1275.0
NCT100356,Trastuzumab,Asthma,Pfizer,2023-08-27,2024-11-23,Phase 2,Terminated,1.0,454.0
NCT100357,Trastuzumab,Hypertension,Astrazeneca,2022-12-15,2024-10-25,Phase 3,Withdrawn,1.0,680.0
NCT100358,Remdesivir,Breast Cancer,Pfizer,2023-03-25,,Phase 2,Withdrawn,0.875,
NCT100359,Metformin,Alzheimer'S Disease,Astrazeneca,2021-01-19,2025-04-26,Phase 4,Withdrawn,1.0,1558.0
NCT100360,Donepezil,Asthma,Moderna,2021-06-19,2025-06-18,Phase 2,Terminated,1.0,1460.0
NCT100361,Remdesivir,Alzheimer'S Disease,Moderna,2021-06-28,2024-12-10,Phase 2,Withdrawn,1.0,1261.0
NCT100362,Aspirin,Diabetes,Novartis,2022-11-26,2024-12-09,Phase 1,Withdrawn,1.0,744.0
NCT100363,Salbutamol,Breast Cancer,Gsk,2023-05-25,,Phase 2,Completed,0.875,
NCT100364,Remdesivir,Diabetes,Gsk,2024-03-16,2024-11-08,Phase 2,Recruiting,1.0,237.0
NCT100365,Donepezil,Diabetes,Moderna,2022-09-12,,,Terminated,0.75,
NCT100366,Metformin,Alzheimer'S Disease,Astrazeneca,2021-07-08,2024-09-29,Phase 3,Recruiting,1.0,1179.0
NCT100367,Remdesivir,Alzheimer'S Disease,Astrazeneca,2021-11-12,2025-06-17,Phase 4,Completed,1.0,1313.0
NCT100368,Remdesivir,Breast Cancer,Pfizer,2021-03-15,,,Recruiting,0.75,
NCT100369,Trastuzumab,Covid-19,Novartis,2021-09-07,2025-07-04,,Completed,0.875,1396.0
NCT100370,Salbutamol,Alzheimer'S Disease,Astrazeneca,2022-10-30,2025-08-03,Phase 3,Recruiting,1.0,1008.0
NCT100371,Trastuzumab,Breast Cancer,Gsk,2024-01-08,,Phase 1,Terminated,0.875,
NCT100372,Salbutamol,Hypertension,Novartis,2022-05-06,2025-06-12,Phase 3,Recruiting,1.0,1133.0
NCT100373,Remdesivir,Alzheimer'S Disease,Gsk,2023-05-27,2024-09-16,Phase 2,Completed,1.0,478.0
NCT100374,Aspirin,Hypertension,Pfizer,2021-02-10,2025-05-09,Phase 3,Withdrawn,1.0,1549.0
NCT100375,,Hypertension,Gsk,2023-12-18,2025-06-18,Phase 2,Completed,0.875,548.0
NCT100376,Metformin,Covid-19,Pfizer,2020-12-08,2025-08-05,Phase 1,Withdrawn,1.0,1701.0
NCT100377,Trastuzumab,Alzheimer'S Disease,Moderna,2024-06-07,2024-12-22,Phase 1,Withdrawn,1.0,198.0
NCT100378,Trastuzumab,Breast Cancer,Astrazeneca,2021-10-23,2024-10-20,Phase 2,Terminated,1.0,1093.0
NCT100379,Aspirin,Diabetes,Gsk,2024-07-15,,Phase 2,Withdrawn,0.875,
NCT100380,Metformin,Diabetes,Gsk,2021-07-18,2024-12-01,Phase 2,Withdrawn,1.0,1232.0
NCT100381,Trastuzumab,Covid-19,Novartis,2022-09-30,,Phase 1,Completed,0.875,
NCT100382,Metformin,Hypertension,Sanofi,2023-06-04,2025-01-11,Phase 1,Terminated,1.0,587.0
NCT100383,Donepezil,Diabetes,Astrazeneca,2024-03-28,2025-01-23,Phase 4,Completed,1.0,301.0
NCT100384,Trastuzumab,Hypertension,Sanofi,2023-05-08,2024-12-14,Phase 2,Completed,1.0,586.0
NCT100385,Remdesivir,Asthma,Novartis,2022-06-01,2025-04-18,Phase 3,Withdrawn,1.0,1052.0
NCT100386,Salbutamol,Hypertension,Astrazeneca,2023-03-14,2025-06-19,Phase 4,Withdrawn,1.0,828.0
NCT100387,Remdesivir,Breast Cancer,Astrazeneca,2021-08-24,2024-10-09,,Recruiting,0.875,1142.0
NCT100388,Metformin,Asthma,Sanofi,2022-08-15,2024-10-02,Phase 1,Completed,1.0,779.0
NCT100389,Remdesivir,,Moderna,2021-11-17,,Phase 1,Withdrawn,0.75,
NCT100390,Metformin,Covid-19,Astrazeneca,2020-10-31,,,Terminated,0.75,
NCT100391,Salbutamol,Breast Cancer,Sanofi,2022-04-10,2024-10-15,Phase 2,Withdrawn,1.0,919.0
NCT100392,Donepezil,Diabetes,Moderna,2022-04-04,2025-03-21,,Completed,0.875,1082.0
NCT100393,Remdesivir,Covid-19,Gsk,2023-07-19,2025-06-30,Phase 4,Recruiting,1.0,712.0
NCT100394,Donepezil,Alzheimer'S Disease,Sanofi,2023-08-16,2025-05-29,Phase 2,Recruiting,1.0,652.0
NCT100395,Remdesivir,Diabetes,Sanofi,2021-05-14,2025-07-30,Phase 4,Recruiting,1.0,1538.0
NCT100396,Aspirin,Diabetes,Moderna,2021-10-09,,Phase 3,Recruiting,0.875,
NCT100397,Metformin,Asthma,Astrazeneca,2023-06-22,2025-06-15,,Terminated,0.875,724.0
NCT100398,Aspirin,,Sanofi,2023-03-17,2025-07-20,Phase 3,Terminated,0.875,856.0
NCT100399,Aspirin,Alzheimer'S Disease,Gsk,2021-12-29,2025-07-06,,Recruiting,0.875,1285.0
NCT100400,,Asthma,Moderna,2022-07-18,2025-01-02,Phase 1,Completed,0.875,899.0
NCT100401,Donepezil,Asthma,Astrazeneca,2024-08-02,2024-08-21,Phase 1,Withdrawn,1.0,19.0
NCT100402,Salbutamol,Asthma,Pfizer,2024-02-11,2025-03-26,,Completed,0.875,409.0
NCT100403,,Breast Cancer,Novartis,2021-01-02,,Phase 3,Terminated,0.75,
NCT100404,Salbutamol,Alzheimer'S Disease,Gsk,2021-06-09,2025-07-12,Phase 1,Withdrawn,1.0,1494.0
NCT100405,Salbutamol,Covid-19,Astrazeneca,2022-04-14,2024-09-05,Phase 1,Recruiting,1.0,875.0
NCT100406,Aspirin,Hypertension,Sanofi,2022-12-29,,Phase 2,Completed,0.875,
NCT100407,Remdesivir,Diabetes,Pfizer,2023-05-17,2024-10-10,Phase 2,Recruiting,1.0,512.0
NCT100408,Metformin,Diabetes,Novartis,2020-11-03,2025-07-02,,Withdrawn,0.875,1702.0
NCT100409,Remdesivir,Hypertension,Astrazeneca,2022-04-10,2025-03-14,,Withdrawn,0.875,1069.0
NCT100410,Remdesivir,Diabetes,Pfizer,2023-05-26,2025-02-28,Phase 1,Completed,1.0,644.0
NCT100411,Donepezil,Diabetes,Novartis,2022-12-16,2025-03-11,Phase 1,Completed,1.0,816.0
NCT100412,Donepezil,Diabetes,Novartis,2023-07-22,,Phase 2,Terminated,0.875,
NCT100413,Metformin,Diabetes,Sanofi,2024-03-18,2025-02-27,,Withdrawn,0.875,346.0
NCT100414,Salbutamol,Alzheimer'S Disease,Moderna,2021-09-14,2025-01-16,Phase 1,Completed,1.0,1220.0
NCT100415,Salbutamol,Alzheimer'S Disease,Moderna,2022-06-05,,Phase 3,Recruiting,0.875,
NCT100416,Metformin,Hypertension,Gsk,2023-06-24,2025-01-24,Phase 3,Terminated,1.0,580.0
NCT100417,Metformin,,Astrazeneca,2022-06-06,,Phase 4,Completed,0.75,
NCT100418,Trastuzumab,Alzheimer'S Disease,Moderna,2022-06-05,2025-02-11,,Recruiting,0.875,982.0
NCT100419,Donepezil,Asthma,Novartis,2023-08-31,2024-10-03,Phase 1,Terminated,1.0,399.0
NCT100420,Aspirin,Breast Cancer,Moderna,2024-05-16,2025-08-02,,Terminated,0.875,443.0
NCT100421,Trastuzumab,Hypertension,Astrazeneca,2024-02-02,,Phase 4,Completed,0.875,
NCT100422,Trastuzumab,Alzheimer'S Disease,Sanofi,2021-11-03,2025-02-28,,Terminated,0.875,1213.0
NCT100423,Trastuzumab,Diabetes,Sanofi,2023-03-31,2024-10-21,Phase 1,Completed,1.0,570.0
NCT100424,Salbutamol,Alzheimer'S Disease,Novartis,2022-03-14,,Phase 4,Terminated,0.875,
NCT100425,Trastuzumab,Covid-19,Pfizer,2022-07-04,2025-03-06,Phase 2,Recruiting,1.0,976.0
NCT100426,Trastuzumab,Asthma,Novartis,2024-05-12,2025-01-17,,Recruiting,0.875,250.0
NCT100427,Donepezil,Asthma,Astrazeneca,2022-07-31,2025-06-30,Phase 2,Completed,1.0,1065.0
NCT100428,Salbutamol,Diabetes,Novartis,2021-06-01,2024-09-22,Phase 3,Completed,1.0,1209.0
NCT100429,Aspirin,Covid-19,Gsk,2022-01-22,2025-04-13,,Terminated,0.875,1177.0
NCT100430,Metformin,Asthma,Gsk,2023-12-22,,,Completed,0.75,
NCT100431,Salbutamol,Asthma,Novartis,2024-07-09,2024-11-02,Phase 2,Withdrawn,1.0,116.0
NCT100432,Remdesivir,Asthma,Astrazeneca,2022-03-26,2025-07-27,,Terminated,0.875,1219.0
NCT100433,Metformin,Diabetes,Moderna,2022-10-31,2025-04-21,Phase 4,Terminated,1.0,903.0
NCT100434,Trastuzumab,Breast Cancer,Sanofi,2023-01-04,2025-06-17,Phase 3,Recruiting,1.0,895.0
NCT100435,Salbutamol,Covid-19,Pfizer,2021-06-25,2025-02-28,Phase 1,Completed,1.0,1344.0
NCT100436,Metformin,Hypertension,Sanofi,2022-08-03,2025-05-31,Phase 4,Recruiting,1.0,1032.0
NCT100437,Trastuzumab,Breast Cancer,Moderna,2020-10-26,,,Completed,0.75,
NCT100438,Metformin,Breast Cancer,Moderna,2021-04-16,2024-11-11,,Recruiting,0.875,1305.0
NCT100439,Trastuzumab,Covid-19,Pfizer,2024-04-12,2025-01-17,,Recruiting,0.875,280.0
NCT100440,Remdesivir,Asthma,Moderna,2022-11-07,2025-05-28,Phase 1,Terminated,1.0,933.0
NCT100441,Aspirin,Diabetes,Pfizer,2024-05-08,2024-10-16,Phase 4,Recruiting,1.0,161.0
NCT100442,Metformin,Asthma,Sanofi,2020-12-21,2025-07-22,Phase 4,Completed,1.0,1674.0
NCT100443,Donepezil,Diabetes,Moderna,2022-10-21,2025-03-08,Phase 3,Terminated,1.0,869.0
NCT100444,Salbutamol,Alzheimer'S Disease,Pfizer,2022-06-08,2025-05-24,Phase 1,Recruiting,1.0,1081.0
NCT100445,Aspirin,Alzheimer'S Disease,Astrazeneca,2022-01-11,,Phase 2,Terminated,0.875,
NCT100446,Aspirin,Breast Cancer,Astrazeneca,2023-04-01,2025-03-25,Phase 4,Recruiting,1.0,724.0
NCT100447,Remdesivir,,Novartis,2022-08-13,2025-03-29,Phase 4,Recruiting,0.875,959.0
NCT100448,Donepezil,Alzheimer'S Disease,Gsk,2023-04-23,2024-09-16,,Completed,0.875,512.0
NCT100449,Donepezil,Alzheimer'S Disease,Novartis,2023-01-01,,Phase 3,Completed,0.875,
NCT100450,Salbutamol,Hypertension,Novartis,2023-12-26,2024-10-30,Phase 2,Recruiting,1.0,309.0
NCT100451,Salbutamol,Hypertension,Pfizer,2022-04-06,2025-06-05,,Terminated,0.875,1156.0
NCT100452,Metformin,Asthma,Pfizer,2020-10-31,2025-07-03,Phase 2,Terminated,1.0,1706.0
NCT100453,Metformin,Covid-19,Pfizer,2023-02-24,,Phase 4,Withdrawn,0.875,
NCT100454,Remdesivir,Alzheimer'S Disease,Pfizer,2021-12-13,2024-12-27,Phase 4,Completed,1.0,1110.0
NCT100455,Remdesivir,Covid-19,Gsk,2021-04-23,2025-01-18,Phase 1,Terminated,1.0,1366.0
NCT100456,Donepezil,Asthma,Astrazeneca,2024-02-09,,,Completed,0.75,
NCT100457,Aspirin,Breast Cancer,Sanofi,2020-12-11,2024-11-22,Phase 2,Withdrawn,1.0,1442.0
NCT100458,Remdesivir,Covid-19,Gsk,2022-12-31,2025-03-30,Phase 4,Completed,1.0,820.0
NCT100459,Salbutamol,Covid-19,Sanofi,2022-03-01,2025-01-14,Phase 3,Terminated,1.0,1050.0
NCT100460,Metformin,Breast Cancer,Sanofi,2024-03-03,2025-02-10,Phase 2,Withdrawn,1.0,344.0
NCT100461,Remdesivir,Breast Cancer,Pfizer,2022-11-01,2025-06-24,Phase 3,Completed,1.0,966.0
NCT100462,Trastuzumab,Asthma,Pfizer,2021-08-16,2025-04-05,Phase 1,Terminated,1.0,1328.0
NCT100463,Remdesivir,Alzheimer'S Disease,Novartis,2024-06-04,,Phase 2,Recruiting,0.875,
NCT100464,Salbutamol,Diabetes,Novartis,2021-12-15,2025-06-26,,Withdrawn,0.875,1289.0
NCT100465,Donepezil,Covid-19,Novartis,2022-07-13,2025-03-15,,Completed,0.875,976.0
NCT100466,Salbutamol,Alzheimer'S Disease,Pfizer,2020-09-20,2025-04-02,Phase 2,Withdrawn,1.0,1655.0
NCT100467,Trastuzumab,Alzheimer'S Disease,Novartis,2022-06-03,2024-12-14,Phase 3,Completed,1.0,925.0
NCT100468,Salbutamol,Asthma,Pfizer,2021-08-19,2024-12-19,,Recruiting,0.875,1218.0
NCT100469,Trastuzumab,Breast Cancer,Gsk,2024-01-05,2025-06-11,Phase 4,Recruiting,1.0,523.0
NCT100470,Remdesivir,Hypertension,Moderna,2023-11-22,2024-12-09,,Terminated,0.875,383.0
NCT100471,Trastuzumab,Covid-19,Astrazeneca,2021-05-11,2024-09-22,Phase 1,Completed,1.0,1230.0
NCT100472,Donepezil,Asthma,Sanofi,2024-04-17,2025-06-20,Phase 1,Recruiting,1.0,429.0
NCT100473,Donepezil,Breast Cancer,Sanofi,2020-10-09,2025-05-22,,Recruiting,0.875,1686.0
NCT100474,Donepezil,Covid-19,Astrazeneca,2022-06-12,2024-11-22,Phase 3,Recruiting,1.0,894.0
NCT100475,Aspirin,Diabetes,Sanofi,2021-01-29,2024-09-14,Phase 4,Recruiting,1.0,1324.0
NCT100476,Salbutamol,Covid-19,Pfizer,2024-01-25,2025-02-06,Phase 1,Terminated,1.0,378.0
NCT100477,Salbutamol,Asthma,Sanofi,2023-05-18,,Phase 4,Recruiting,0.875,
NCT100478,Donepezil,Alzheimer'S Disease,Astrazeneca,2022-10-01,2025-05-16,Phase 4,Terminated,1.0,958.0
NCT100479,Metformin,Breast Cancer,Astrazeneca,2020-10-03,2025-08-05,Phase 3,Completed,1.0,1767.0
NCT100480,Donepezil,Hypertension,Pfizer,2021-11-10,2025-06-12,Phase 3,Terminated,1.0,1310.0
NCT100481,Trastuzumab,Asthma,Moderna,2022-05-12,2024-09-28,Phase 4,Completed,1.0,870.0
NCT100482,Salbutamol,Hypertension,Pfizer,2020-08-07,,Phase 3,Terminated,0.875,
NCT100483,Metformin,Alzheimer'S Disease,Gsk,2021-09-26,2024-09-15,Phase 1,Terminated,1.0,1085.0
NCT100484,Salbutamol,Diabetes,Astrazeneca,2020-08-08,2025-04-16,Phase 4,Completed,1.0,1712.0
NCT100485,Donepezil,Alzheimer'S Disease,Novartis,2021-12-27,2025-06-18,,Completed,0.875,1269.0
NCT100486,Trastuzumab,Asthma,Astrazeneca,2022-10-17,,Phase 2,Terminated,0.875,
NCT100487,Metformin,Covid-19,Sanofi,2021-05-28,2025-03-23,Phase 1,Terminated,1.0,1395.0
NCT100488,Salbutamol,Asthma,Astrazeneca,2021-05-21,2025-01-15,,Recruiting,0.875,1335.0
NCT100489,Trastuzumab,Asthma,Sanofi,2023-02-11,,Phase 4,Completed,0.875,
NCT100490,Donepezil,Hypertension,Pfizer,2021-10-19,2025-07-14,Phase 3,Withdrawn,1.0,1364.0
NCT100491,Salbutamol,Alzheimer'S Disease,Pfizer,2022-01-26,2025-06-08,Phase 1,Terminated,1.0,1229.0
NCT100492,Metformin,Asthma,Novartis,2021-01-16,2024-08-09,Phase 2,Recruiting,1.0,1301.0
NCT100493,Metformin,Diabetes,Sanofi,2023-07-01,,,Completed,0.75,
