study_id,intervention_name,condition,sponsor,start_date,end_date,phase,status,completeness_score,study_duration_days,mapped_term,match_score,mapping_status
NCT100201,Salbutamol,Hypertension,Novartis,2021-02-17,2025-04-03,,Withdrawn,0.875,1506.0,Salbutamol,100,mapped
NCT100202,Salbutamol,Hypertension,Gsk,2020-12-10,,Phase 2,Completed,0.875,,Salbutamol,100,mapped
NCT100203,Trastuzumab,Hypertension,Pfizer,2020-08-23,2024-12-19,,Completed,0.875,1579.0,Trastuzumab,100,mapped
NCT100204,Aspirin,Breast Cancer,Moderna,2022-05-13,2024-09-18,Phase 2,Terminated,1.0,859.0,Aspirin,100,mapped
NCT100205,Remdesivir,Asthma,Novartis,2023-12-07,2024-09-26,Phase 1,Withdrawn,1.0,294.0,Remdesivir,100,mapped
NCT100206,Aspirin,Hypertension,Gsk,2020-11-20,2025-03-16,Phase 4,Terminated,1.0,1577.0,Aspirin,100,mapped
NCT100207,Trastuzumab,Hypertension,Novartis,2021-08-03,2025-02-12,,Completed,0.875,1289.0,Trastuzumab,100,mapped
NCT100208,Metformin,Covid-19,Sanofi,2020-12-26,2025-05-19,Phase 1,Recruiting,1.0,1605.0,Metformin,100,mapped
NCT100209,Aspirin,Diabetes,Astrazeneca,2021-04-18,2025-05-28,Phase 4,Recruiting,1.0,1501.0,Aspirin,100,mapped
NCT100210,Remdesivir,Breast Cancer,Pfizer,2020-08-28,2024-09-15,Phase 4,Completed,1.0,1479.0,Remdesivir,100,mapped
NCT100211,Metformin,Asthma,Pfizer,2020-10-21,,Phase 1,Terminated,0.875,,Metformin,100,mapped
NCT100212,Donepezil,Covid-19,Gsk,2021-10-04,2025-02-04,Phase 4,Recruiting,1.0,1219.0,Donepezil,100,mapped
NCT100213,Donepezil,Hypertension,Moderna,2022-04-21,2025-05-16,,Recruiting,0.875,1121.0,Donepezil,100,mapped
NCT100214,Donepezil,Diabetes,Pfizer,2022-12-11,2025-07-27,Phase 4,Completed,1.0,959.0,Donepezil,100,mapped
NCT100215,Metformin,Covid-19,Pfizer,2023-06-11,,Phase 1,Recruiting,0.875,,Metformin,100,mapped
NCT100216,Metformin,Covid-19,Moderna,2024-06-17,,Phase 1,Completed,0.875,,Metformin,100,mapped
NCT100217,Aspirin,Alzheimer'S Disease,Sanofi,2021-03-14,2024-10-25,Phase 4,Terminated,1.0,1321.0,Aspirin,100,mapped
NCT100218,Metformin,Diabetes,Pfizer,2022-10-29,,Phase 3,Completed,0.875,,Metformin,100,mapped
NCT100219,Salbutamol,Breast Cancer,Pfizer,2022-05-15,2025-01-22,,Withdrawn,0.875,983.0,Salbutamol,100,mapped
NCT100220,Remdesivir,Alzheimer'S Disease,Novartis,2021-05-18,2025-05-25,Phase 3,Terminated,1.0,1468.0,Remdesivir,100,mapped
NCT100221,Remdesivir,Hypertension,Novartis,2022-09-19,2025-07-01,,Terminated,0.875,1016.0,Remdesivir,100,mapped
NCT100222,Metformin,Hypertension,Gsk,2022-04-13,2025-04-08,Phase 3,Completed,1.0,1091.0,Metformin,100,mapped
NCT100223,Aspirin,Alzheimer'S Disease,Pfizer,2023-05-03,2024-11-07,Phase 2,Recruiting,1.0,554.0,Aspirin,100,mapped
NCT100224,,Breast Cancer,Pfizer,2024-03-05,2025-07-03,,Completed,0.75,485.0,Metformin,45,low_score
NCT100225,Trastuzumab,Asthma,Novartis,2024-01-09,,Phase 3,Withdrawn,0.875,,Trastuzumab,100,mapped
NCT100226,Trastuzumab,Alzheimer'S Disease,Pfizer,2023-07-08,2024-11-04,,Withdrawn,0.875,485.0,Trastuzumab,100,mapped
NCT100227,Aspirin,,Novartis,2022-05-21,2025-02-08,Phase 4,Recruiting,0.875,994.0,Aspirin,100,mapped
NCT100228,Remdesivir,Diabetes,Gsk,2020-08-23,,Phase 4,Completed,0.875,,Remdesivir,100,mapped
NCT100229,Donepezil,Asthma,Pfizer,2020-10-18,2025-06-29,Phase 4,Withdrawn,1.0,1715.0,Donepezil,100,mapped
NCT100230,Aspirin,Alzheimer'S Disease,Sanofi,2022-06-18,2024-12-17,Phase 1,Completed,1.0,913.0,Aspirin,100,mapped
NCT100231,Remdesivir,Breast Cancer,Sanofi,2021-05-07,2025-02-25,Phase 4,Terminated,1.0,1390.0,Remdesivir,100,mapped
NCT100232,Metformin,Breast Cancer,Gsk,2020-10-29,,,Completed,0.75,,Metformin,100,mapped
NCT100233,Salbutamol,Alzheimer'S Disease,Pfizer,2024-07-09,2025-06-09,Phase 4,Terminated,1.0,335.0,Salbutamol,100,mapped
NCT100234,Trastuzumab,Breast Cancer,Moderna,2021-10-07,2025-02-10,Phase 2,Completed,1.0,1222.0,Trastuzumab,100,mapped
NCT100235,Donepezil,Asthma,Pfizer,2023-01-19,2024-08-31,Phase 3,Withdrawn,1.0,590.0,Donepezil,100,mapped
NCT100236,Metformin,Diabetes,Moderna,2023-11-05,2025-01-07,Phase 3,Terminated,1.0,429.0,Metformin,100,mapped
NCT100237,,Diabetes,Novartis,2021-05-22,,Phase 4,Completed,0.75,,Metformin,45,low_score
NCT100238,Aspirin,Diabetes,Novartis,2024-07-30,2025-04-24,Phase 4,Recruiting,1.0,268.0,Aspirin,100,mapped
NCT100239,Remdesivir,Covid-19,Gsk,2023-05-20,2025-04-23,Phase 3,Withdrawn,1.0,704.0,Remdesivir,100,mapped
NCT100240,Aspirin,Hypertension,Novartis,2022-05-06,2025-02-25,,Terminated,0.875,1026.0,Aspirin,100,mapped
NCT100241,Trastuzumab,Hypertension,Pfizer,2024-01-29,2025-05-10,Phase 2,Withdrawn,1.0,467.0,Trastuzumab,100,mapped
NCT100242,Salbutamol,Breast Cancer,Sanofi,2020-12-03,2025-05-01,,Terminated,0.875,1610.0,Salbutamol,100,mapped
NCT100243,Donepezil,Diabetes,Novartis,2023-12-31,2025-05-30,,Recruiting,0.875,516.0,Donepezil,100,mapped
NCT100244,Salbutamol,Breast Cancer,Sanofi,2023-01-25,2024-12-17,,Recruiting,0.875,692.0,Salbutamol,100,mapped
NCT100245,Remdesivir,Covid-19,Sanofi,2021-04-07,2025-03-24,Phase 3,Withdrawn,1.0,1447.0,Remdesivir,100,mapped
NCT100246,Donepezil,Asthma,Pfizer,2022-12-25,,Phase 2,Completed,0.875,,Donepezil,100,mapped
NCT100247,Donepezil,Breast Cancer,Pfizer,2021-09-22,2024-08-28,Phase 4,Terminated,1.0,1071.0,Donepezil,100,mapped
NCT100248,Aspirin,Covid-19,Pfizer,2021-07-14,2024-09-14,Phase 4,Withdrawn,1.0,1158.0,Aspirin,100,mapped
NCT100249,Donepezil,Breast Cancer,Gsk,2021-10-09,2025-02-24,Phase 2,Terminated,1.0,1234.0,Donepezil,100,mapped
NCT100250,Trastuzumab,Breast Cancer,Moderna,2021-12-06,2024-12-31,Phase 2,Withdrawn,1.0,1121.0,Trastuzumab,100,mapped
NCT100251,Metformin,Breast Cancer,Sanofi,2022-08-30,2024-09-29,,Completed,0.875,761.0,Metformin,100,mapped
NCT100252,Donepezil,Alzheimer'S Disease,Moderna,2022-09-12,2025-06-11,,Completed,0.875,1003.0,Donepezil,100,mapped
NCT100253,Aspirin,Covid-19,Astrazeneca,2023-06-25,2025-02-22,Phase 3,Completed,1.0,608.0,Aspirin,100,mapped
NCT100254,Trastuzumab,Covid-19,Sanofi,2023-10-05,2024-10-06,Phase 4,Withdrawn,1.0,367.0,Trastuzumab,100,mapped
NCT100255,Metformin,Alzheimer'S Disease,Moderna,2022-09-02,2024-12-30,Phase 4,Completed,1.0,850.0,Metformin,100,mapped
NCT100256,Metformin,Covid-19,Novartis,2022-05-15,2024-09-14,Phase 3,Completed,1.0,853.0,Metformin,100,mapped
NCT100257,Remdesivir,Hypertension,Pfizer,2022-11-30,2025-05-13,Phase 2,Completed,1.0,895.0,Remdesivir,100,mapped
NCT100258,Aspirin,Diabetes,Pfizer,2021-08-20,2024-11-27,Phase 2,Withdrawn,1.0,1195.0,Aspirin,100,mapped
NCT100259,Trastuzumab,Breast Cancer,Novartis,2022-04-26,2025-02-21,Phase 2,Terminated,1.0,1032.0,Trastuzumab,100,mapped
NCT100260,Aspirin,,Pfizer,2022-04-03,2024-09-01,Phase 3,Recruiting,0.875,882.0,Aspirin,100,mapped
NCT100261,Trastuzumab,Diabetes,Moderna,2020-10-17,2024-09-30,,Terminated,0.875,1444.0,Trastuzumab,100,mapped
NCT100262,Metformin,Hypertension,Astrazeneca,2024-03-19,2025-03-11,Phase 2,Withdrawn,1.0,357.0,Metformin,100,mapped
NCT100263,Metformin,Diabetes,Gsk,2020-11-15,2024-10-27,Phase 4,Completed,1.0,1442.0,Metformin,100,mapped
NCT100264,Salbutamol,Diabetes,Novartis,2020-09-19,2024-09-11,Phase 3,Recruiting,1.0,1453.0,Salbutamol,100,mapped
NCT100265,Remdesivir,Breast Cancer,Astrazeneca,2023-01-01,2025-05-21,Phase 4,Terminated,1.0,871.0,Remdesivir,100,mapped
NCT100266,Aspirin,Alzheimer'S Disease,Pfizer,2020-09-01,,Phase 2,Recruiting,0.875,,Aspirin,100,mapped
NCT100267,Donepezil,Asthma,Moderna,2023-05-13,2024-10-30,Phase 4,Recruiting,1.0,536.0,Donepezil,100,mapped
NCT100268,Remdesivir,Asthma,Astrazeneca,2020-12-30,2025-04-21,Phase 4,Withdrawn,1.0,1573.0,Remdesivir,100,mapped
NCT100269,Trastuzumab,Diabetes,Pfizer,2021-09-25,2025-07-07,,Terminated,0.875,1381.0,Trastuzumab,100,mapped
NCT100270,Trastuzumab,Asthma,Gsk,2023-12-10,,Phase 2,Recruiting,0.875,,Trastuzumab,100,mapped
NCT100271,Salbutamol,Hypertension,Sanofi,2023-01-17,2024-09-30,Phase 4,Withdrawn,1.0,622.0,Salbutamol,100,mapped
NCT100272,Donepezil,,Gsk,2021-01-07,,Phase 3,Completed,0.75,,Donepezil,100,mapped
NCT100273,Trastuzumab,Asthma,Moderna,2021-02-16,2024-10-20,Phase 2,Recruiting,1.0,1342.0,Trastuzumab,100,mapped
NCT100274,Remdesivir,Alzheimer'S Disease,Pfizer,2021-05-14,,Phase 2,Withdrawn,0.875,,Remdesivir,100,mapped
NCT100275,Trastuzumab,Alzheimer'S Disease,Moderna,2023-07-14,,Phase 3,Recruiting,0.875,,Trastuzumab,100,mapped
NCT100276,Donepezil,Covid-19,Gsk,2021-05-14,2025-07-15,Phase 3,Withdrawn,1.0,1523.0,Donepezil,100,mapped
NCT100277,Aspirin,Hypertension,Novartis,2021-03-08,,Phase 1,Withdrawn,0.875,,Aspirin,100,mapped
NCT100278,,Hypertension,Pfizer,2021-12-12,,Phase 1,Recruiting,0.75,,Metformin,45,low_score
NCT100279,,Asthma,Novartis,2024-03-28,,,Recruiting,0.625,,Metformin,45,low_score
NCT100280,Salbutamol,Diabetes,Pfizer,2020-08-08,2025-04-27,Phase 2,Terminated,1.0,1723.0,Salbutamol,100,mapped
NCT100281,Metformin,Diabetes,Gsk,2021-11-28,2025-07-05,Phase 4,Withdrawn,1.0,1315.0,Metformin,100,mapped
NCT100282,Metformin,Diabetes,Sanofi,2022-03-10,,Phase 2,Terminated,0.875,,Metformin,100,mapped
NCT100283,Salbutamol,Breast Cancer,Novartis,2023-03-30,2025-01-18,Phase 1,Recruiting,1.0,660.0,Salbutamol,100,mapped
NCT100284,Remdesivir,Alzheimer'S Disease,Gsk,2020-12-09,2025-05-31,Phase 2,Withdrawn,1.0,1634.0,Remdesivir,100,mapped
NCT100285,Salbutamol,Hypertension,Sanofi,2022-12-14,,Phase 4,Terminated,0.875,,Salbutamol,100,mapped
NCT100286,Salbutamol,Covid-19,Moderna,2022-01-14,2024-08-20,Phase 1,Withdrawn,1.0,949.0,Salbutamol,100,mapped
NCT100287,Remdesivir,Alzheimer'S Disease,Sanofi,2021-09-18,2025-01-10,Phase 2,Terminated,1.0,1210.0,Remdesivir,100,mapped
NCT100288,Trastuzumab,Diabetes,Pfizer,2021-07-11,2024-12-14,Phase 4,Withdrawn,1.0,1252.0,Trastuzumab,100,mapped
NCT100289,Remdesivir,Asthma,Pfizer,2024-07-01,2025-06-06,Phase 1,Recruiting,1.0,340.0,Remdesivir,100,mapped
NCT100290,Salbutamol,Hypertension,Moderna,2023-11-18,2024-12-24,Phase 1,Recruiting,1.0,402.0,Salbutamol,100,mapped
NCT100291,Trastuzumab,Alzheimer'S Disease,Sanofi,2022-06-21,2024-12-19,,Terminated,0.875,912.0,Trastuzumab,100,mapped
NCT100292,Metformin,Breast Cancer,Moderna,2023-07-17,2025-01-15,,Completed,0.875,548.0,Metformin,100,mapped
NCT100293,Remdesivir,Breast Cancer,Sanofi,2021-11-27,2025-03-17,Phase 4,Recruiting,1.0,1206.0,Remdesivir,100,mapped
NCT100294,Trastuzumab,Covid-19,Novartis,2022-09-05,2025-02-01,Phase 3,Withdrawn,1.0,880.0,Trastuzumab,100,mapped
NCT100295,Trastuzumab,Covid-19,Moderna,2022-01-28,2024-10-07,Phase 1,Completed,1.0,983.0,Trastuzumab,100,mapped
NCT100296,Aspirin,Breast Cancer,Pfizer,2020-08-06,2025-07-03,Phase 4,Withdrawn,1.0,1792.0,Aspirin,100,mapped
NCT100297,Salbutamol,Hypertension,Gsk,2022-11-19,2025-07-31,Phase 4,Withdrawn,1.0,985.0,Salbutamol,100,mapped
NCT100298,Aspirin,Breast Cancer,Gsk,2020-08-14,2024-12-06,,Withdrawn,0.875,1575.0,Aspirin,100,mapped
NCT100299,Remdesivir,Hypertension,Gsk,2021-06-28,2024-10-04,,Recruiting,0.875,1194.0,Remdesivir,100,mapped
NCT100300,Metformin,Alzheimer'S Disease,Astrazeneca,2022-02-18,,Phase 3,Completed,0.875,,Metformin,100,mapped
NCT100301,Donepezil,Asthma,Moderna,2024-03-22,,Phase 3,Completed,0.875,,Donepezil,100,mapped
NCT100302,Aspirin,Asthma,Pfizer,2024-05-20,2025-07-25,Phase 3,Completed,1.0,431.0,Aspirin,100,mapped
NCT100303,Salbutamol,Covid-19,Astrazeneca,2024-01-03,2025-05-06,Phase 4,Terminated,1.0,489.0,Salbutamol,100,mapped
NCT100304,Salbutamol,Alzheimer'S Disease,Astrazeneca,2024-02-15,,Phase 4,Terminated,0.875,,Salbutamol,100,mapped
NCT100305,Salbutamol,Breast Cancer,Astrazeneca,2022-04-11,2025-02-07,,Completed,0.875,1033.0,Salbutamol,100,mapped
NCT100306,Donepezil,Alzheimer'S Disease,Gsk,2022-07-05,2024-08-20,Phase 2,Terminated,1.0,777.0,Donepezil,100,mapped
NCT100307,Salbutamol,Diabetes,Moderna,2024-06-30,2025-06-28,Phase 4,Completed,1.0,363.0,Salbutamol,100,mapped
NCT100308,Remdesivir,Alzheimer'S Disease,Novartis,2023-06-22,2025-05-05,Phase 4,Recruiting,1.0,683.0,Remdesivir,100,mapped
NCT100309,Salbutamol,Covid-19,Pfizer,2021-11-11,2025-05-23,,Withdrawn,0.875,1289.0,Salbutamol,100,mapped
NCT100310,Metformin,Covid-19,Sanofi,2021-01-21,2025-07-24,Phase 1,Recruiting,1.0,1645.0,Metformin,100,mapped
NCT100311,Aspirin,Hypertension,Sanofi,2021-06-06,2025-05-20,Phase 4,Withdrawn,1.0,1444.0,Aspirin,100,mapped
NCT100312,Metformin,Hypertension,Astrazeneca,2021-12-01,2025-07-17,Phase 2,Recruiting,1.0,1324.0,Metformin,100,mapped
NCT100313,Donepezil,Hypertension,Novartis,2024-06-02,2024-09-06,Phase 1,Terminated,1.0,96.0,Donepezil,100,mapped
NCT100314,Donepezil,Diabetes,Pfizer,2021-09-30,2025-07-09,,Recruiting,0.875,1378.0,Donepezil,100,mapped
NCT100315,Salbutamol,Diabetes,Novartis,2021-02-21,2025-01-16,Phase 1,Completed,1.0,1425.0,Salbutamol,100,mapped
NCT100316,,Asthma,Pfizer,2021-09-17,2025-02-08,,Completed,0.75,1240.0,Metformin,45,low_score
NCT100317,Donepezil,Covid-19,Novartis,2023-10-20,2024-09-19,,Completed,0.875,335.0,Donepezil,100,mapped
NCT100318,Remdesivir,Hypertension,Astrazeneca,2021-10-22,2024-11-02,Phase 3,Completed,1.0,1107.0,Remdesivir,100,mapped
NCT100319,Metformin,Hypertension,Moderna,2021-10-12,2025-05-08,Phase 1,Withdrawn,1.0,1304.0,Metformin,100,mapped
NCT100320,Remdesivir,Alzheimer'S Disease,Gsk,2024-03-07,2025-05-14,Phase 4,Recruiting,1.0,433.0,Remdesivir,100,mapped
NCT100321,Remdesivir,Hypertension,Novartis,2023-02-07,2024-09-16,Phase 1,Recruiting,1.0,587.0,Remdesivir,100,mapped
NCT100322,Donepezil,Covid-19,Astrazeneca,2023-07-26,2025-01-22,Phase 1,Terminated,1.0,546.0,Donepezil,100,mapped
NCT100323,Remdesivir,Hypertension,Gsk,2021-02-17,2025-03-04,Phase 4,Completed,1.0,1476.0,Remdesivir,100,mapped
NCT100324,Salbutamol,Hypertension,Astrazeneca,2022-03-01,2024-09-23,Phase 1,Completed,1.0,937.0,Salbutamol,100,mapped
NCT100325,Salbutamol,Alzheimer'S Disease,Gsk,2022-05-10,2024-08-09,Phase 2,Withdrawn,1.0,822.0,Salbutamol,100,mapped
NCT100326,Remdesivir,Covid-19,Moderna,2021-08-21,2025-05-15,Phase 3,Terminated,1.0,1363.0,Remdesivir,100,mapped
NCT100327,Aspirin,Asthma,Astrazeneca,2022-01-21,2024-12-09,Phase 4,Recruiting,1.0,1053.0,Aspirin,100,mapped
NCT100328,Aspirin,Covid-19,Astrazeneca,2021-11-27,2024-12-19,Phase 1,Completed,1.0,1118.0,Aspirin,100,mapped
NCT100329,Salbutamol,Diabetes,Novartis,2022-12-11,2025-02-22,Phase 2,Terminated,1.0,804.0,Salbutamol,100,mapped
NCT100330,Metformin,,Sanofi,2021-05-23,,Phase 3,Completed,0.75,,Metformin,100,mapped
NCT100331,Trastuzumab,,Novartis,2024-04-30,,Phase 4,Terminated,0.75,,Trastuzumab,100,mapped
NCT100332,Aspirin,Alzheimer'S Disease,Astrazeneca,2020-10-28,2025-05-12,Phase 4,Terminated,1.0,1657.0,Aspirin,100,mapped
NCT100333,Metformin,Covid-19,Sanofi,2021-09-27,,Phase 2,Completed,0.875,,Metformin,100,mapped
NCT100334,Trastuzumab,Covid-19,Gsk,2022-08-24,2024-10-20,Phase 2,Recruiting,1.0,788.0,Trastuzumab,100,mapped
NCT100335,Trastuzumab,Covid-19,Gsk,2021-03-12,2024-10-04,Phase 4,Withdrawn,1.0,1302.0,Trastuzumab,100,mapped
NCT100336,Remdesivir,Hypertension,Astrazeneca,2022-02-17,2025-02-10,Phase 2,Recruiting,1.0,1089.0,Remdesivir,100,mapped
NCT100337,Aspirin,Diabetes,Sanofi,2021-10-20,,Phase 4,Withdrawn,0.875,,Aspirin,100,mapped
NCT100338,Metformin,Alzheimer'S Disease,Gsk,2024-06-22,,Phase 3,Recruiting,0.875,,Metformin,100,mapped
NCT100339,Salbutamol,Breast Cancer,Novartis,2022-09-02,2025-07-05,Phase 3,Completed,1.0,1037.0,Salbutamol,100,mapped
NCT100340,Salbutamol,Alzheimer'S Disease,Sanofi,2023-07-06,2025-04-13,Phase 4,Withdrawn,1.0,647.0,Salbutamol,100,mapped
NCT100341,Trastuzumab,Alzheimer'S Disease,Novartis,2024-06-28,2024-11-15,,Completed,0.875,140.0,Trastuzumab,100,mapped
NCT100342,Remdesivir,Hypertension,Novartis,2023-05-05,2025-07-17,Phase 1,Terminated,1.0,804.0,Remdesivir,100,mapped
NCT100343,Salbutamol,Alzheimer'S Disease,Novartis,2021-01-26,2024-08-11,Phase 4,Completed,1.0,1293.0,Salbutamol,100,mapped
NCT100344,Aspirin,Breast Cancer,Sanofi,2021-10-12,2025-01-06,Phase 1,Completed,1.0,1182.0,Aspirin,100,mapped
NCT100345,Donepezil,Covid-19,Sanofi,2021-06-30,2024-09-03,Phase 4,Recruiting,1.0,1161.0,Donepezil,100,mapped
NCT100346,Salbutamol,Covid-19,Gsk,2022-11-25,2024-11-23,Phase 1,Terminated,1.0,729.0,Salbutamol,100,mapped
NCT100347,Donepezil,Breast Cancer,Moderna,2020-10-21,,Phase 1,Withdrawn,0.875,,Donepezil,100,mapped
NCT100348,,Breast Cancer,Sanofi,2021-07-26,,,Withdrawn,0.625,,Metformin,45,low_score
NCT100349,Donepezil,Hypertension,Moderna,2022-03-16,2024-10-12,,Completed,0.875,941.0,Donepezil,100,mapped
NCT100350,Metformin,Alzheimer'S Disease,Gsk,2021-07-14,,,Withdrawn,0.75,,Metformin,100,mapped
NCT100351,Trastuzumab,Asthma,Moderna,2024-02-25,2024-11-15,Phase 1,Completed,1.0,264.0,Trastuzumab,100,mapped
NCT100352,Salbutamol,Hypertension,Sanofi,2022-12-05,2025-04-03,Phase 4,Recruiting,1.0,850.0,Salbutamol,100,mapped
NCT100353,,Diabetes,Astrazeneca,2022-01-11,2025-03-03,Phase 3,Terminated,0.875,1147.0,Metformin,45,low_score
NCT100354,Salbutamol,Breast Cancer,Pfizer,2022-09-23,2025-04-22,Phase 2,Terminated,1.0,942.0,Salbutamol,100,mapped
NCT100355,Remdesivir,Covid-19,Gsk,2021-03-28,2024-09-23,Phase 1,Completed,1.0,1275.0,Remdesivir,100,mapped
NCT100356,Trastuzumab,Asthma,Pfizer,2023-08-27,2024-11-23,Phase 2,Terminated,1.0,454.0,Trastuzumab,100,mapped
NCT100357,Trastuzumab,Hypertension,Astrazeneca,2022-12-15,2024-10-25,Phase 3,Withdrawn,1.0,680.0,Trastuzumab,100,mapped
NCT100358,Remdesivir,Breast Cancer,Pfizer,2023-03-25,,Phase 2,Withdrawn,0.875,,Remdesivir,100,mapped
NCT100359,Metformin,Alzheimer'S Disease,Astrazeneca,2021-01-19,2025-04-26,Phase 4,Withdrawn,1.0,1558.0,Metformin,100,mapped
NCT100360,Donepezil,Asthma,Moderna,2021-06-19,2025-06-18,Phase 2,Terminated,1.0,1460.0,Donepezil,100,mapped
NCT100361,Remdesivir,Alzheimer'S Disease,Moderna,2021-06-28,2024-12-10,Phase 2,Withdrawn,1.0,1261.0,Remdesivir,100,mapped
NCT100362,Aspirin,Diabetes,Novartis,2022-11-26,2024-12-09,Phase 1,Withdrawn,1.0,744.0,Aspirin,100,mapped
NCT100363,Salbutamol,Breast Cancer,Gsk,2023-05-25,,Phase 2,Completed,0.875,,Salbutamol,100,mapped
NCT100364,Remdesivir,Diabetes,Gsk,2024-03-16,2024-11-08,Phase 2,Recruiting,1.0,237.0,Remdesivir,100,mapped
NCT100365,Donepezil,Diabetes,Moderna,2022-09-12,,,Terminated,0.75,,Donepezil,100,mapped
NCT100366,Metformin,Alzheimer'S Disease,Astrazeneca,2021-07-08,2024-09-29,Phase 3,Recruiting,1.0,1179.0,Metformin,100,mapped
NCT100367,Remdesivir,Alzheimer'S Disease,Astrazeneca,2021-11-12,2025-06-17,Phase 4,Completed,1.0,1313.0,Remdesivir,100,mapped
NCT100368,Remdesivir,Breast Cancer,Pfizer,2021-03-15,,,Recruiting,0.75,,Remdesivir,100,mapped
NCT100369,Trastuzumab,Covid-19,Novartis,2021-09-07,2025-07-04,,Completed,0.875,1396.0,Trastuzumab,100,mapped
NCT100370,Salbutamol,Alzheimer'S Disease,Astrazeneca,2022-10-30,2025-08-03,Phase 3,Recruiting,1.0,1008.0,Salbutamol,100,mapped
NCT100371,Trastuzumab,Breast Cancer,Gsk,2024-01-08,,Phase 1,Terminated,0.875,,Trastuzumab,100,mapped
NCT100372,Salbutamol,Hypertension,Novartis,2022-05-06,2025-06-12,Phase 3,Recruiting,1.0,1133.0,Salbutamol,100,mapped
NCT100373,Remdesivir,Alzheimer'S Disease,Gsk,2023-05-27,2024-09-16,Phase 2,Completed,1.0,478.0,Remdesivir,100,mapped
NCT100374,Aspirin,Hypertension,Pfizer,2021-02-10,2025-05-09,Phase 3,Withdrawn,1.0,1549.0,Aspirin,100,mapped
NCT100375,,Hypertension,Gsk,2023-12-18,2025-06-18,Phase 2,Completed,0.875,548.0,Metformin,45,low_score
NCT100376,Metformin,Covid-19,Pfizer,2020-12-08,2025-08-05,Phase 1,Withdrawn,1.0,1701.0,Metformin,100,mapped
NCT100377,Trastuzumab,Alzheimer'S Disease,Moderna,2024-06-07,2024-12-22,Phase 1,Withdrawn,1.0,198.0,Trastuzumab,100,mapped
NCT100378,Trastuzumab,Breast Cancer,Astrazeneca,2021-10-23,2024-10-20,Phase 2,Terminated,1.0,1093.0,Trastuzumab,100,mapped
NCT100379,Aspirin,Diabetes,Gsk,2024-07-15,,Phase 2,Withdrawn,0.875,,Aspirin,100,mapped
NCT100380,Metformin,Diabetes,Gsk,2021-07-18,2024-12-01,Phase 2,Withdrawn,1.0,1232.0,Metformin,100,mapped
NCT100381,Trastuzumab,Covid-19,Novartis,2022-09-30,,Phase 1,Completed,0.875,,Trastuzumab,100,mapped
NCT100382,Metformin,Hypertension,Sanofi,2023-06-04,2025-01-11,Phase 1,Terminated,1.0,587.0,Metformin,100,mapped
NCT100383,Donepezil,Diabetes,Astrazeneca,2024-03-28,2025-01-23,Phase 4,Completed,1.0,301.0,Donepezil,100,mapped
NCT100384,Trastuzumab,Hypertension,Sanofi,2023-05-08,2024-12-14,Phase 2,Completed,1.0,586.0,Trastuzumab,100,mapped
NCT100385,Remdesivir,Asthma,Novartis,2022-06-01,2025-04-18,Phase 3,Withdrawn,1.0,1052.0,Remdesivir,100,mapped
NCT100386,Salbutamol,Hypertension,Astrazeneca,2023-03-14,2025-06-19,Phase 4,Withdrawn,1.0,828.0,Salbutamol,100,mapped
NCT100387,Remdesivir,Breast Cancer,Astrazeneca,2021-08-24,2024-10-09,,Recruiting,0.875,1142.0,Remdesivir,100,mapped
NCT100388,Metformin,Asthma,Sanofi,2022-08-15,2024-10-02,Phase 1,Completed,1.0,779.0,Metformin,100,mapped
NCT100389,Remdesivir,,Moderna,2021-11-17,,Phase 1,Withdrawn,0.75,,Remdesivir,100,mapped
NCT100390,Metformin,Covid-19,Astrazeneca,2020-10-31,,,Terminated,0.75,,Metformin,100,mapped
NCT100391,Salbutamol,Breast Cancer,Sanofi,2022-04-10,2024-10-15,Phase 2,Withdrawn,1.0,919.0,Salbutamol,100,mapped
NCT100392,Donepezil,Diabetes,Moderna,2022-04-04,2025-03-21,,Completed,0.875,1082.0,Donepezil,100,mapped
NCT100393,Remdesivir,Covid-19,Gsk,2023-07-19,2025-06-30,Phase 4,Recruiting,1.0,712.0,Remdesivir,100,mapped
NCT100394,Donepezil,Alzheimer'S Disease,Sanofi,2023-08-16,2025-05-29,Phase 2,Recruiting,1.0,652.0,Donepezil,100,mapped
NCT100395,Remdesivir,Diabetes,Sanofi,2021-05-14,2025-07-30,Phase 4,Recruiting,1.0,1538.0,Remdesivir,100,mapped
NCT100396,Aspirin,Diabetes,Moderna,2021-10-09,,Phase 3,Recruiting,0.875,,Aspirin,100,mapped
NCT100397,Metformin,Asthma,Astrazeneca,2023-06-22,2025-06-15,,Terminated,0.875,724.0,Metformin,100,mapped
NCT100398,Aspirin,,Sanofi,2023-03-17,2025-07-20,Phase 3,Terminated,0.875,856.0,Aspirin,100,mapped
NCT100399,Aspirin,Alzheimer'S Disease,Gsk,2021-12-29,2025-07-06,,Recruiting,0.875,1285.0,Aspirin,100,mapped
NCT100400,,Asthma,Moderna,2022-07-18,2025-01-02,Phase 1,Completed,0.875,899.0,Metformin,45,low_score
NCT100401,Donepezil,Asthma,Astrazeneca,2024-08-02,2024-08-21,Phase 1,Withdrawn,1.0,19.0,Donepezil,100,mapped
NCT100402,Salbutamol,Asthma,Pfizer,2024-02-11,2025-03-26,,Completed,0.875,409.0,Salbutamol,100,mapped
NCT100403,,Breast Cancer,Novartis,2021-01-02,,Phase 3,Terminated,0.75,,Metformin,45,low_score
